0.4	0.4	0.2269708	32295.88
1	0.4	0.1862377	12553.08
0.4	1	0.2472688	38679.57
1	1	0.1618792	13867.9
0.4	0.664	0.2334668	35215.58
0.424	0.52	0.2195144	31543.47
0.448	0.784	0.2176468	31986.3
0.472	0.904	0.2128178	31044.3
0.496	0.616	0.1995214	27282.88
0.52	0.448	0.1951516	24729.56
0.544	0.712	0.1902447	25240.69
0.568	0.976	0.1894705	25538.35
0.592	0.856	0.1832713	23768.87
0.616	0.544	0.1800919	21209.4
0.64	0.424	0.1825142	19769.97
0.664	0.952	0.1739714	21385.96
0.688	0.76	0.1713519	19779.7
0.712	0.64	0.1711744	18578.62
0.736	0.496	0.1749193	17376.79
0.76	0.88	0.1666564	18166.45
0.784	0.736	0.1670559	17080.95
0.808	0.4	0.1808273	15481.67
0.832	1	0.1636113	16821.3
0.856	0.592	0.1693082	15178.61
0.88	0.808	0.1641188	15338.31
0.904	0.472	0.176308	14047.45
0.928	0.928	0.1625802	14806.84
0.952	0.688	0.167041	13858.26
0.976	0.568	0.1721966	13244.67
1	0.832	0.1643945	13500.18
